context	coverage_tertile_median_population_coverage	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
early_warning	high	0	0.0	0.0	12	200	0.06837461764988503	0.06509351110154514	0.08373015873015872	0.085
early_warning	high	0	0.0	0.3	12	200	0.05958102418365072	0.05723748612949474	0.10158730158730157	0.1
early_warning	high	0	0.1	0.0	12	157	0.05753281871882157	0.059407970961009526	0.08267195767195767	0.07006369426751592
early_warning	high	0	0.1	0.3	12	164	0.07550023069991421	0.0835142597748383	0.17833599149388624	0.15853658536585366
early_warning	high	1	0.0	0.0	12	200	0.08196978436098072	0.07752420295438434	0.0853174603174603	0.085
early_warning	high	1	0.0	0.3	12	200	0.07443339539249948	0.07069556050129089	0.10158730158730157	0.1
early_warning	high	1	0.1	0.0	12	167	0.0905515727251814	0.0844134979074584	0.11228354978354978	0.09580838323353294
early_warning	high	1	0.1	0.3	12	180	0.07872269439951494	0.08414696811930214	0.12536549707602337	0.12222222222222222
early_warning	high	2	0.0	0.0	12	200	0.0923122960611887	0.08667612816559983	0.09047619047619047	0.09
early_warning	high	2	0.0	0.3	12	200	0.08543372739417265	0.08037316436224265	0.09047619047619047	0.09
early_warning	high	2	0.1	0.0	12	184	0.10020436939609417	0.09246350533593226	0.150030525030525	0.14130434782608695
early_warning	high	2	0.1	0.3	12	183	0.09029644548433986	0.09148670403940357	0.12543859649122804	0.12568306010928962
early_warning	high	3	0.0	0.0	12	200	0.10092539424972041	0.09395804559130927	0.10396825396825395	0.105
early_warning	high	3	0.0	0.3	12	200	0.09551333531955263	0.08880897672342475	0.11388888888888887	0.115
early_warning	high	3	0.1	0.0	12	188	0.10675751026460449	0.09795369442046123	0.14316239316239318	0.13297872340425532
early_warning	high	3	0.1	0.3	12	188	0.1038226235313449	0.09838820015247297	0.1498015873015873	0.14893617021276595
early_warning	high	3	0.2	0.0	12	154	0.09831206236007055	0.08589511152105171	0.15132275132275133	0.17532467532467533
early_warning	high	3	0.2	0.3	12	129	0.09816808685825734	0.09458324447109687	0.22627314814814817	0.2248062015503876
early_warning	high	4	0.0	0.0	12	200	0.10921972859877065	0.10077720414094453	0.16507936507936508	0.165
early_warning	high	4	0.0	0.3	12	200	0.10440461717050442	0.09619623593521641	0.14444444444444443	0.145
early_warning	high	4	0.1	0.0	12	192	0.12258816208957672	0.11084312891333904	0.14117826617826615	0.13541666666666666
early_warning	high	4	0.1	0.3	12	192	0.11891595745738748	0.11075857765355691	0.09706959706959706	0.09895833333333333
early_warning	high	4	0.2	0.0	12	176	0.13668842191349026	0.11737285870801868	0.13546176046176045	0.14772727272727273
early_warning	high	4	0.2	0.3	12	180	0.12317721005105942	0.11782784553107939	0.13375513375513373	0.13333333333333333
early_warning	low	0	0.0	0.0	12	192	0.10562165189494233	0.11267520079091976	0.11177248677248679	0.13020833333333334
early_warning	low	0	0.0	0.3	12	192	0.09693306255214545	0.09949114880811484	0.15608465608465608	0.17708333333333334
early_warning	low	0	0.1	0.0	12	162	0.09042699202629445	0.10350896047422999	0.16670557111733578	0.16049382716049382
early_warning	low	0	0.1	0.3	12	150	0.08347859625828145	0.07846746598564809	0.28966346153846156	0.28
early_warning	low	1	0.0	0.0	12	192	0.12753060084838894	0.13422178589105807	0.13095238095238093	0.15104166666666666
early_warning	low	1	0.0	0.3	12	192	0.11809144070734147	0.12090698844207588	0.14417989417989416	0.16145833333333334
early_warning	low	1	0.1	0.0	12	168	0.11314441772252685	0.13040088256545795	0.2034252297410192	0.20238095238095238
early_warning	low	1	0.1	0.3	12	172	0.12231422699189672	0.12208251640500122	0.2835648148148148	0.27325581395348836
early_warning	low	2	0.0	0.0	12	192	0.14275986437692154	0.14878129173639235	0.13558201058201058	0.15625
early_warning	low	2	0.0	0.3	12	192	0.1339428869155598	0.1361577648453479	0.15608465608465608	0.18229166666666666
early_warning	low	2	0.1	0.0	12	182	0.12754550070721388	0.13858374475663202	0.21181041861188918	0.23076923076923078
early_warning	low	2	0.1	0.3	12	176	0.14998026308461887	0.15170951884748254	0.17821028265107208	0.1875
early_warning	low	3	0.0	0.0	12	192	0.1537050154556283	0.15830461527114095	0.1488095238095238	0.171875
early_warning	low	3	0.0	0.3	12	192	0.14565829206540426	0.14708189422651455	0.15211640211640212	0.17708333333333334
early_warning	low	3	0.1	0.0	12	187	0.1411742133432342	0.14941762009453888	0.18737161531279178	0.19786096256684493
early_warning	low	3	0.1	0.3	12	180	0.144568393864228	0.14766743976066415	0.1641203703703704	0.16666666666666666
early_warning	low	3	0.2	0.0	12	122	0.16737216442745997	0.1828178003891215	0.20117521367521365	0.20491803278688525
early_warning	low	3	0.2	0.3	12	125	0.09836705372353656	0.10204791590600633	0.2240740740740741	0.208
early_warning	low	4	0.0	0.0	12	192	0.1599716532101664	0.163135020460806	0.14417989417989416	0.16666666666666666
early_warning	low	4	0.0	0.3	12	192	0.15592134174502598	0.1565959256640798	0.14417989417989419	0.16666666666666666
early_warning	low	4	0.1	0.0	12	188	0.15192581417217452	0.16204499102901318	0.14449112978524745	0.16489361702127658
early_warning	low	4	0.1	0.3	12	184	0.1564064428212508	0.15627051373538392	0.17385620915032682	0.18478260869565216
early_warning	low	4	0.2	0.0	12	164	0.16755325663927478	0.1747311624098298	0.11699346405228757	0.13414634146341464
early_warning	low	4	0.2	0.3	12	175	0.15103788198793272	0.1636449268439069	0.16091269841269842	0.1657142857142857
early_warning	mid	0	0.0	0.0	12	200	0.061712019517784565	0.056887457324966514	0.13720238095238094	0.135
early_warning	mid	0	0.0	0.3	12	200	0.05336365562609389	0.04962028156795208	0.14866071428571428	0.15
early_warning	mid	0	0.1	0.0	12	176	0.0724402527762812	0.07484212965212798	0.248678587494377	0.23863636363636365
early_warning	mid	0	0.1	0.3	12	178	0.059589772199730405	0.06828473775775241	0.19602758352758354	0.19101123595505617
early_warning	mid	1	0.0	0.0	12	200	0.07629473649836642	0.06966998124170595	0.14136904761904762	0.14
early_warning	mid	1	0.0	0.3	12	200	0.0687499762158053	0.06316267470931977	0.17574404761904763	0.175
early_warning	mid	1	0.1	0.0	12	184	0.0833574162376945	0.08361629298679273	0.23814102564102568	0.22282608695652173
early_warning	mid	1	0.1	0.3	12	186	0.08094585119858946	0.08599164393917083	0.2371336996336996	0.22043010752688172
early_warning	mid	2	0.0	0.0	12	200	0.08741802053838975	0.07949897864993338	0.17157738095238095	0.17
early_warning	mid	2	0.0	0.3	12	200	0.07999032873832486	0.07297877348268166	0.1674107142857143	0.165
early_warning	mid	2	0.1	0.0	12	200	0.11125506591779681	0.1049697958120615	0.2380952380952381	0.235
early_warning	mid	2	0.1	0.3	12	196	0.08647305591671506	0.08511663996248012	0.2471153846153846	0.24489795918367346
early_warning	mid	3	0.0	0.0	12	200	0.0972220427447155	0.08788724342571	0.17261904761904764	0.17
early_warning	mid	3	0.0	0.3	12	200	0.0903108582698477	0.08171902916724179	0.18511904761904763	0.185
early_warning	mid	3	0.1	0.0	12	200	0.14227538741483856	0.13151247677791494	0.23407738095238093	0.235
early_warning	mid	3	0.1	0.3	12	200	0.09125227499788646	0.08572001520941203	0.21413690476190475	0.22
early_warning	mid	3	0.2	0.0	12	165	0.1511349243322528	0.15069805429657931	0.17812998405103667	0.18181818181818182
early_warning	mid	3	0.2	0.3	12	129	0.08929999206032806	0.09720029065597624	0.21984126984126984	0.21705426356589147
early_warning	mid	4	0.0	0.0	12	200	0.10378672473601691	0.09322997501457822	0.18616071428571426	0.185
early_warning	mid	4	0.0	0.3	12	200	0.09763833841297971	0.08770254387251106	0.19032738095238097	0.19
early_warning	mid	4	0.1	0.0	12	200	0.1462333548405895	0.13329524840015186	0.2069940476190476	0.21
early_warning	mid	4	0.1	0.3	12	200	0.09417553485125381	0.08632959436405942	0.2069940476190476	0.21
early_warning	mid	4	0.2	0.0	12	192	0.19619109393063142	0.1801308870062069	0.19155982905982905	0.19791666666666666
early_warning	mid	4	0.2	0.3	12	192	0.09873361832780429	0.09900187601097665	0.17916666666666667	0.17708333333333334
with_current_y	high	0	0.0	0.0	12	200	0.05182575454729158	0.04954703084109555	0.09126984126984126	0.09
with_current_y	high	0	0.0	0.3	12	200	0.0420447262816448	0.04089270250935291	0.13015873015873014	0.125
with_current_y	high	0	0.1	0.0	12	145	0.04581386686240391	0.048597637306399974	0.10146372876636034	0.1103448275862069
with_current_y	high	0	0.1	0.3	12	130	0.04566002899148336	0.055290898216471554	0.22757936507936508	0.2230769230769231
with_current_y	high	1	0.0	0.0	12	200	0.06837461764988503	0.06509351110154514	0.08373015873015872	0.085
with_current_y	high	1	0.0	0.3	12	200	0.05958102418365072	0.05723748612949474	0.10158730158730157	0.1
with_current_y	high	1	0.1	0.0	12	157	0.05753281871882157	0.059407970961009526	0.08267195767195767	0.07006369426751592
with_current_y	high	1	0.1	0.3	12	164	0.07550023069991421	0.0835142597748383	0.17833599149388624	0.15853658536585366
with_current_y	high	2	0.0	0.0	12	200	0.08196978436098072	0.07752420295438434	0.0853174603174603	0.085
with_current_y	high	2	0.0	0.3	12	200	0.07443339539249948	0.07069556050129089	0.10158730158730157	0.1
with_current_y	high	2	0.1	0.0	12	167	0.0905515727251814	0.0844134979074584	0.11228354978354978	0.09580838323353294
with_current_y	high	2	0.1	0.3	12	180	0.07872269439951494	0.08414696811930214	0.12536549707602337	0.12222222222222222
with_current_y	high	3	0.0	0.0	12	200	0.0923122960611887	0.08667612816559983	0.09047619047619047	0.09
with_current_y	high	3	0.0	0.3	12	200	0.08543372739417265	0.08037316436224265	0.09047619047619047	0.09
with_current_y	high	3	0.1	0.0	12	184	0.10020436939609417	0.09246350533593226	0.150030525030525	0.14130434782608695
with_current_y	high	3	0.1	0.3	12	183	0.09029644548433986	0.09148670403940357	0.12543859649122804	0.12568306010928962
with_current_y	high	4	0.0	0.0	12	200	0.10092539424972041	0.09395804559130927	0.10396825396825395	0.105
with_current_y	high	4	0.0	0.3	12	200	0.09551333531955263	0.08880897672342475	0.11388888888888887	0.115
with_current_y	high	4	0.1	0.0	12	188	0.10675751026460449	0.09795369442046123	0.14316239316239318	0.13297872340425532
with_current_y	high	4	0.1	0.3	12	188	0.1038226235313449	0.09838820015247297	0.1498015873015873	0.14893617021276595
with_current_y	high	4	0.2	0.0	12	154	0.09831206236007055	0.08589511152105171	0.15132275132275133	0.17532467532467533
with_current_y	high	4	0.2	0.3	12	129	0.09816808685825734	0.09458324447109687	0.22627314814814817	0.2248062015503876
with_current_y	low	0	0.0	0.0	12	192	0.07965748850273713	0.0870475603357964	0.10251322751322751	0.11979166666666667
with_current_y	low	0	0.0	0.3	12	192	0.07260749708876846	0.07534734421679999	0.1693121693121693	0.18229166666666666
with_current_y	low	0	0.1	0.0	12	129	0.03828095690996853	0.03674521240107719	0.1840439652939653	0.1937984496124031
with_current_y	low	0	0.1	0.3	12	114	0.07113088765763377	0.05494260940801346	0.29580026455026454	0.30701754385964913
with_current_y	low	1	0.0	0.0	12	192	0.10562165189494233	0.11267520079091976	0.11177248677248679	0.13020833333333334
with_current_y	low	1	0.0	0.3	12	192	0.09693306255214545	0.09949114880811484	0.15608465608465608	0.17708333333333334
with_current_y	low	1	0.1	0.0	12	162	0.09042699202629445	0.10350896047422999	0.16670557111733578	0.16049382716049382
with_current_y	low	1	0.1	0.3	12	150	0.08347859625828145	0.07846746598564809	0.28966346153846156	0.28
with_current_y	low	2	0.0	0.0	12	192	0.12753060084838894	0.13422178589105807	0.13095238095238093	0.15104166666666666
with_current_y	low	2	0.0	0.3	12	192	0.11809144070734147	0.12090698844207588	0.14417989417989416	0.16145833333333334
with_current_y	low	2	0.1	0.0	12	168	0.11314441772252685	0.13040088256545795	0.2034252297410192	0.20238095238095238
with_current_y	low	2	0.1	0.3	12	172	0.12231422699189672	0.12208251640500122	0.2835648148148148	0.27325581395348836
with_current_y	low	3	0.0	0.0	12	192	0.14275986437692154	0.14878129173639235	0.13558201058201058	0.15625
with_current_y	low	3	0.0	0.3	12	192	0.1339428869155598	0.1361577648453479	0.15608465608465608	0.18229166666666666
with_current_y	low	3	0.1	0.0	12	182	0.12754550070721388	0.13858374475663202	0.21181041861188918	0.23076923076923078
with_current_y	low	3	0.1	0.3	12	176	0.14998026308461887	0.15170951884748254	0.17821028265107208	0.1875
with_current_y	low	4	0.0	0.0	12	192	0.1537050154556283	0.15830461527114095	0.1488095238095238	0.171875
with_current_y	low	4	0.0	0.3	12	192	0.14565829206540426	0.14708189422651455	0.15211640211640212	0.17708333333333334
with_current_y	low	4	0.1	0.0	12	187	0.1411742133432342	0.14941762009453888	0.18737161531279178	0.19786096256684493
with_current_y	low	4	0.1	0.3	12	180	0.144568393864228	0.14766743976066415	0.1641203703703704	0.16666666666666666
with_current_y	low	4	0.2	0.0	12	122	0.16737216442745997	0.1828178003891215	0.20117521367521365	0.20491803278688525
with_current_y	low	4	0.2	0.3	12	125	0.09836705372353656	0.10204791590600633	0.2240740740740741	0.208
with_current_y	mid	0	0.0	0.0	12	200	0.04783512889569419	0.0448034661992284	0.1392857142857143	0.135
with_current_y	mid	0	0.0	0.3	12	200	0.04158066041061454	0.03933706056917681	0.13065476190476188	0.125
with_current_y	mid	0	0.1	0.0	12	158	0.053735263616607014	0.05817718408961278	0.27193825910931174	0.26582278481012656
with_current_y	mid	0	0.1	0.3	12	141	0.04429828572997816	0.051788393889316754	0.20050505050505052	0.19148936170212766
with_current_y	mid	1	0.0	0.0	12	200	0.061712019517784565	0.056887457324966514	0.13720238095238094	0.135
with_current_y	mid	1	0.0	0.3	12	200	0.05336365562609389	0.04962028156795208	0.14866071428571428	0.15
with_current_y	mid	1	0.1	0.0	12	176	0.0724402527762812	0.07484212965212798	0.248678587494377	0.23863636363636365
with_current_y	mid	1	0.1	0.3	12	178	0.059589772199730405	0.06828473775775241	0.19602758352758354	0.19101123595505617
with_current_y	mid	2	0.0	0.0	12	200	0.07629473649836642	0.06966998124170595	0.14136904761904762	0.14
with_current_y	mid	2	0.0	0.3	12	200	0.0687499762158053	0.06316267470931977	0.17574404761904763	0.175
with_current_y	mid	2	0.1	0.0	12	184	0.0833574162376945	0.08361629298679273	0.23814102564102568	0.22282608695652173
with_current_y	mid	2	0.1	0.3	12	186	0.08094585119858946	0.08599164393917083	0.2371336996336996	0.22043010752688172
with_current_y	mid	3	0.0	0.0	12	200	0.08741802053838975	0.07949897864993338	0.17157738095238095	0.17
with_current_y	mid	3	0.0	0.3	12	200	0.07999032873832486	0.07297877348268166	0.1674107142857143	0.165
with_current_y	mid	3	0.1	0.0	12	200	0.11125506591779681	0.1049697958120615	0.2380952380952381	0.235
with_current_y	mid	3	0.1	0.3	12	196	0.08647305591671506	0.08511663996248012	0.2471153846153846	0.24489795918367346
with_current_y	mid	4	0.0	0.0	12	200	0.0972220427447155	0.08788724342571	0.17261904761904764	0.17
with_current_y	mid	4	0.0	0.3	12	200	0.0903108582698477	0.08171902916724179	0.18511904761904763	0.185
with_current_y	mid	4	0.1	0.0	12	200	0.14227538741483856	0.13151247677791494	0.23407738095238093	0.235
with_current_y	mid	4	0.1	0.3	12	200	0.09125227499788646	0.08572001520941203	0.21413690476190475	0.22
with_current_y	mid	4	0.2	0.0	12	165	0.1511349243322528	0.15069805429657931	0.17812998405103667	0.18181818181818182
with_current_y	mid	4	0.2	0.3	12	129	0.08929999206032806	0.09720029065597624	0.21984126984126984	0.21705426356589147
