subset	geo_level	geo_id	pathogen	horizon_weeks	test_weeks	loss	mean_loss_diff_fusion_minus_ar	dm_p_value_two_sided	test_start_week_end	test_end_week_end
geo_matched_state	state	AK	COVID-19	1	52	se	0.0009137709484988478	0.03785829496314497	2025-04-12	2026-04-04
geo_matched_state	state	AK	Influenza	1	52	se	0.0007447024401507998	0.23116932766603981	2025-04-12	2026-04-04
geo_matched_state	state	AK	RSV	1	52	se	-0.00013521422149324338	0.7647193571319539	2025-04-12	2026-04-04
geo_matched_state	state	AL	COVID-19	1	52	se	0.0005989763119366589	0.0002450743052682114	2025-04-12	2026-04-04
geo_matched_state	state	AL	Influenza	1	52	se	0.0005712646750015454	0.004338366344214917	2025-04-12	2026-04-04
geo_matched_state	state	AL	RSV	1	52	se	0.0006885365058822805	0.008994806988387394	2025-04-12	2026-04-04
geo_matched_state	state	AR	COVID-19	1	52	se	0.004713417922910702	0.0038973642228090632	2025-04-12	2026-04-04
geo_matched_state	state	AR	Influenza	1	52	se	0.00032553429389874593	0.601789253824303	2025-04-12	2026-04-04
geo_matched_state	state	AR	RSV	1	52	se	0.00017585835261069215	0.5615781099258172	2025-04-12	2026-04-04
geo_matched_state	state	AZ	COVID-19	1	52	se	0.002126393053296929	0.0	2025-04-12	2026-04-04
geo_matched_state	state	AZ	Influenza	1	52	se	0.0011199458680297455	3.3971809809685283e-09	2025-04-12	2026-04-04
geo_matched_state	state	AZ	RSV	1	52	se	0.00013451061903618653	8.071679324928027e-08	2025-04-12	2026-04-04
geo_matched_state	state	CA	COVID-19	1	52	se	0.00018781360883587424	0.03257236189865442	2025-04-12	2026-04-04
geo_matched_state	state	CA	Influenza	1	52	se	0.0001498684871935547	0.18752065605377055	2025-04-12	2026-04-04
geo_matched_state	state	CA	RSV	1	52	se	0.00037053848279094845	0.0001724161795502166	2025-04-12	2026-04-04
geo_matched_state	state	CO	COVID-19	1	52	se	0.00134821088909167	0.023024160153715556	2025-04-12	2026-04-04
geo_matched_state	state	CO	Influenza	1	52	se	2.421915901060977e-05	0.7271364914119567	2025-04-12	2026-04-04
geo_matched_state	state	CO	RSV	1	52	se	6.566179159506241e-06	0.8760872915511244	2025-04-12	2026-04-04
geo_matched_state	state	CT	COVID-19	1	52	se	0.0003721441678666495	0.005519265104594329	2025-04-12	2026-04-04
geo_matched_state	state	CT	Influenza	1	52	se	0.0017921432469386095	8.1908948748044e-06	2025-04-12	2026-04-04
geo_matched_state	state	CT	RSV	1	52	se	0.00019055541462297484	0.1383134997288935	2025-04-12	2026-04-04
geo_matched_state	state	DC	COVID-19	1	52	se	0.0014514110097863203	0.4090855901493242	2025-03-15	2026-04-04
geo_matched_state	state	DC	Influenza	1	52	se	0.01578382378203644	3.015447671828042e-05	2025-03-15	2026-04-04
geo_matched_state	state	DC	RSV	1	52	se	0.002633403346901231	0.04535986660820823	2025-03-15	2026-04-04
geo_matched_state	state	DE	COVID-19	1	52	se	3.243585629225227e-06	0.8270547764948235	2025-04-12	2026-04-04
geo_matched_state	state	DE	Influenza	1	52	se	1.0904778181203176e-06	0.9847417541037469	2025-04-12	2026-04-04
geo_matched_state	state	DE	RSV	1	52	se	0.000254750649574775	0.05709395621866453	2025-04-12	2026-04-04
geo_matched_state	state	FL	COVID-19	1	52	se	-8.20287780509064e-06	0.9289595902233418	2025-04-12	2026-04-04
geo_matched_state	state	FL	Influenza	1	52	se	5.221580207866149e-05	0.5631680519492364	2025-04-12	2026-04-04
geo_matched_state	state	FL	RSV	1	52	se	-2.6444331445625157e-05	0.35453532503943075	2025-04-12	2026-04-04
geo_matched_state	state	GA	COVID-19	1	52	se	0.0001436889489567439	0.2252193086737928	2025-04-12	2026-04-04
geo_matched_state	state	GA	Influenza	1	52	se	8.751168207535898e-05	0.015380352153649302	2025-04-12	2026-04-04
geo_matched_state	state	GA	RSV	1	52	se	0.00042801269623732313	0.00014940610380409503	2025-04-12	2026-04-04
geo_matched_state	state	HI	COVID-19	1	52	se	0.00034608416763235556	0.2564406151116927	2025-04-12	2026-04-04
geo_matched_state	state	HI	Influenza	1	52	se	7.005292942531876e-05	0.8250354814938883	2025-04-12	2026-04-04
geo_matched_state	state	HI	RSV	1	52	se	0.0010254593652978105	0.019313405538098127	2025-04-12	2026-04-04
geo_matched_state	state	IA	COVID-19	1	52	se	0.001943563946073227	3.064766968874366e-06	2025-04-12	2026-04-04
geo_matched_state	state	IA	Influenza	1	52	se	0.0008111681006112002	0.00401945262787029	2025-04-12	2026-04-04
geo_matched_state	state	IA	RSV	1	52	se	-7.375681561314975e-05	0.7208780506807	2025-04-12	2026-04-04
geo_matched_state	state	ID	COVID-19	1	52	se	0.0022782337925062123	0.03549768512277662	2025-04-12	2026-04-04
geo_matched_state	state	ID	Influenza	1	52	se	-0.0004236257537220414	0.07204403227660161	2025-04-12	2026-04-04
geo_matched_state	state	ID	RSV	1	52	se	0.0032538785002266596	0.0003899256910520066	2025-04-12	2026-04-04
geo_matched_state	state	IL	COVID-19	1	52	se	0.00014988262977504478	0.6679651198471062	2025-04-12	2026-04-04
geo_matched_state	state	IL	Influenza	1	52	se	0.00019472646983588533	0.039060870232421996	2025-04-12	2026-04-04
geo_matched_state	state	IL	RSV	1	52	se	0.0003980803165830413	0.055673780752759416	2025-04-12	2026-04-04
geo_matched_state	state	IN	COVID-19	1	52	se	0.0009982523125427246	0.0015592158741168927	2025-04-12	2026-04-04
geo_matched_state	state	IN	Influenza	1	52	se	-0.00018797463083748936	0.006110140590790181	2025-04-12	2026-04-04
geo_matched_state	state	IN	RSV	1	52	se	-7.3822893684594874e-06	0.9226487847736555	2025-04-12	2026-04-04
geo_matched_state	state	KS	COVID-19	1	52	se	0.00193942288839252	0.011791298383472038	2025-04-12	2026-04-04
geo_matched_state	state	KS	Influenza	1	52	se	0.004893493533794215	0.0002584319140794822	2025-04-12	2026-04-04
geo_matched_state	state	KS	RSV	1	52	se	0.0011603798008997424	0.20974625176747708	2025-04-12	2026-04-04
geo_matched_state	state	KY	COVID-19	1	52	se	0.00804418049466606	0.1279583091192067	2025-04-12	2026-04-04
geo_matched_state	state	KY	Influenza	1	52	se	-9.205746657458027e-06	0.9582513512902888	2025-04-12	2026-04-04
geo_matched_state	state	KY	RSV	1	52	se	-1.2343826483732193e-05	0.8899960577433055	2025-04-12	2026-04-04
geo_matched_state	state	LA	COVID-19	1	52	se	0.000521620477630134	0.24771511823778924	2025-04-12	2026-04-04
geo_matched_state	state	LA	Influenza	1	52	se	0.01909788283128514	4.6113774576639344e-08	2025-04-12	2026-04-04
geo_matched_state	state	LA	RSV	1	52	se	0.0003697246998535575	0.4397410467859728	2025-04-12	2026-04-04
geo_matched_state	state	MA	COVID-19	1	52	se	0.00010337281174595107	0.5844702464908262	2025-04-12	2026-04-04
geo_matched_state	state	MA	Influenza	1	52	se	0.0007331317371273194	4.471137227124444e-06	2025-04-12	2026-04-04
geo_matched_state	state	MA	RSV	1	52	se	0.0005335117259631283	3.903810528926854e-05	2025-04-12	2026-04-04
geo_matched_state	state	MD	COVID-19	1	52	se	0.0004201405871591488	0.1101630425492004	2025-04-12	2026-04-04
geo_matched_state	state	MD	Influenza	1	52	se	6.373910771509559e-05	0.31014164609399675	2025-04-12	2026-04-04
geo_matched_state	state	MD	RSV	1	52	se	0.00017674449091196698	0.20682630688611425	2025-04-12	2026-04-04
geo_matched_state	state	ME	COVID-19	1	52	se	0.0015861617214756952	0.20062809977307006	2025-04-12	2026-04-04
geo_matched_state	state	ME	Influenza	1	52	se	0.000914528834916155	0.09018940947881338	2025-04-12	2026-04-04
geo_matched_state	state	ME	RSV	1	52	se	0.0011727824624764968	0.1498400687345951	2025-04-12	2026-04-04
geo_matched_state	state	MI	COVID-19	1	52	se	0.0003178294727465521	0.1555806917484217	2025-04-12	2026-04-04
geo_matched_state	state	MI	Influenza	1	52	se	7.486948186438425e-06	0.4527762224285121	2025-04-12	2026-04-04
geo_matched_state	state	MI	RSV	1	52	se	-2.4309702644976125e-05	0.05768389720668288	2025-04-12	2026-04-04
geo_matched_state	state	MN	COVID-19	1	52	se	0.004517828937534147	1.186577502920727e-10	2025-04-12	2026-04-04
geo_matched_state	state	MN	Influenza	1	52	se	0.0015614060371036682	0.001293173873908815	2025-04-12	2026-04-04
geo_matched_state	state	MN	RSV	1	52	se	0.00024121727238694422	0.01108690972548576	2025-04-12	2026-04-04
geo_matched_state	state	MO	COVID-19	1	52	se	0.00017024097353540596	0.4676293159282783	2025-04-12	2026-04-04
geo_matched_state	state	MO	Influenza	1	52	se	0.008940406656468084	1.1102230246251565e-15	2025-03-22	2026-04-04
geo_matched_state	state	MO	RSV	1	52	se	0.0005085143674896886	0.14761676380752897	2025-03-22	2026-04-04
geo_matched_state	state	MS	COVID-19	1	52	se	0.00019334675736558946	0.7077529254510997	2025-04-12	2026-04-04
geo_matched_state	state	MS	Influenza	1	52	se	0.0034982354111086763	0.0001276020152793933	2025-04-12	2026-04-04
geo_matched_state	state	MS	RSV	1	52	se	0.007504762552690776	1.5134804663974322e-05	2025-04-12	2026-04-04
geo_matched_state	state	MT	COVID-19	1	52	se	0.0005719646146591123	0.7799809102020874	2025-04-12	2026-04-04
geo_matched_state	state	MT	Influenza	1	52	se	0.0054991772959860396	0.27403103646549876	2025-04-12	2026-04-04
geo_matched_state	state	MT	RSV	1	52	se	0.0471702988572248	0.00041137908906963006	2025-04-12	2026-04-04
geo_matched_state	state	NC	COVID-19	1	52	se	0.0013455808125525024	0.0	2025-04-12	2026-04-04
geo_matched_state	state	NC	Influenza	1	52	se	0.00028987504249525947	0.00637635679142412	2025-04-12	2026-04-04
geo_matched_state	state	NC	RSV	1	52	se	1.1731247116201234e-05	0.13585227924077192	2025-04-12	2026-04-04
geo_matched_state	state	NE	COVID-19	1	52	se	0.009679122093775899	1.1263052597243473e-06	2025-04-12	2026-04-04
geo_matched_state	state	NE	Influenza	1	52	se	0.0051580476932628705	0.00971806521331553	2025-04-12	2026-04-04
geo_matched_state	state	NE	RSV	1	52	se	0.0008221967196969723	0.322496321657912	2025-04-12	2026-04-04
geo_matched_state	state	NH	COVID-19	1	52	se	0.0017220483360032802	0.08682740587037618	2025-04-12	2026-04-04
geo_matched_state	state	NH	Influenza	1	52	se	0.0003092806463813685	0.490160985628894	2025-04-12	2026-04-04
geo_matched_state	state	NH	RSV	1	52	se	3.0261432602125743e-05	0.8822937476559527	2025-04-12	2026-04-04
geo_matched_state	state	NJ	COVID-19	1	52	se	0.001219366651223438	5.609115345528437e-07	2025-04-12	2026-04-04
geo_matched_state	state	NJ	Influenza	1	52	se	0.0007247073565239808	1.9085347946479203e-06	2025-04-12	2026-04-04
geo_matched_state	state	NJ	RSV	1	52	se	0.000171177751116227	0.00042894580949903727	2025-04-12	2026-04-04
geo_matched_state	state	NM	COVID-19	1	52	se	0.0008835964835809461	7.990340145092034e-08	2025-04-12	2026-04-04
geo_matched_state	state	NM	Influenza	1	52	se	0.006333913424783895	1.9984014443252818e-15	2025-04-12	2026-04-04
geo_matched_state	state	NM	RSV	1	52	se	0.0008553484873583616	0.00110789569908043	2025-04-12	2026-04-04
geo_matched_state	state	NV	COVID-19	1	52	se	0.0009717515189804048	8.483728166286397e-05	2025-04-12	2026-04-04
geo_matched_state	state	NV	Influenza	1	52	se	0.0001616376235343575	0.5463983559620667	2025-04-12	2026-04-04
geo_matched_state	state	NV	RSV	1	52	se	0.000817842807320216	0.0015114199776093962	2025-04-12	2026-04-04
geo_matched_state	state	NY	COVID-19	1	52	se	0.0003336292895789614	7.335031464217323e-06	2025-04-12	2026-04-04
geo_matched_state	state	NY	Influenza	1	52	se	9.022748793358655e-05	0.5042184281909903	2025-04-12	2026-04-04
geo_matched_state	state	NY	RSV	1	52	se	0.00041943418125500986	1.6065880574789304e-06	2025-04-12	2026-04-04
geo_matched_state	state	OH	COVID-19	1	52	se	0.0015044223839060238	1.361826207357808e-10	2025-04-12	2026-04-04
geo_matched_state	state	OH	Influenza	1	52	se	5.5151968367147165e-05	3.49995613742049e-05	2025-04-12	2026-04-04
geo_matched_state	state	OH	RSV	1	52	se	4.4768599846972375e-05	0.04726940240141997	2025-04-12	2026-04-04
geo_matched_state	state	OK	COVID-19	1	52	se	0.006422298506927061	0.00028634275821870503	2025-04-12	2026-04-04
geo_matched_state	state	OK	Influenza	1	52	se	0.009125844628469926	4.0313622118537396e-05	2025-04-12	2026-04-04
geo_matched_state	state	OK	RSV	1	52	se	0.0005123389100155038	0.21558356288540326	2025-04-12	2026-04-04
geo_matched_state	state	OR	COVID-19	1	52	se	7.589177786144967e-05	0.7684778039388251	2025-04-12	2026-04-04
geo_matched_state	state	OR	Influenza	1	52	se	0.00015300742124873203	0.11551970603558481	2025-04-12	2026-04-04
geo_matched_state	state	OR	RSV	1	52	se	0.002234193608355266	8.99011267438965e-05	2025-04-12	2026-04-04
geo_matched_state	state	PA	COVID-19	1	52	se	0.0015678060135044384	0.00013293772262112924	2025-04-12	2026-04-04
geo_matched_state	state	PA	Influenza	1	52	se	0.0005231737776501317	0.0685903838823616	2025-04-12	2026-04-04
geo_matched_state	state	PA	RSV	1	52	se	0.001750252395692284	0.00011375568183935592	2025-04-12	2026-04-04
geo_matched_state	state	RI	COVID-19	1	52	se	0.00020809292397943593	0.2547707026750794	2025-04-12	2026-04-04
geo_matched_state	state	RI	Influenza	1	52	se	0.0063940415070099735	1.7283952047364437e-12	2025-04-12	2026-04-04
geo_matched_state	state	RI	RSV	1	52	se	0.002204885425263633	5.922040635653048e-11	2025-04-12	2026-04-04
geo_matched_state	state	SC	COVID-19	1	52	se	0.0002761749751208969	1.0524134632650117e-06	2025-04-12	2026-04-04
geo_matched_state	state	SC	Influenza	1	52	se	0.0023724414600000176	5.873079800267078e-13	2025-04-12	2026-04-04
geo_matched_state	state	SC	RSV	1	52	se	0.0002401850757278168	0.000922170419217494	2025-04-12	2026-04-04
geo_matched_state	state	SD	COVID-19	1	52	se	0.035951298383804495	3.05749506450681e-05	2025-04-12	2026-04-04
geo_matched_state	state	SD	Influenza	1	52	se	0.0008577828396921222	0.45871461481310627	2025-04-12	2026-04-04
geo_matched_state	state	SD	RSV	1	52	se	0.004979902156488131	0.05558805603610706	2025-04-12	2026-04-04
geo_matched_state	state	TN	COVID-19	1	52	se	0.002565948892166248	3.694378136742671e-12	2025-04-12	2026-04-04
geo_matched_state	state	TN	Influenza	1	52	se	0.002994523819763693	1.2910108260877351e-05	2025-04-12	2026-04-04
geo_matched_state	state	TN	RSV	1	52	se	0.0017539868013692805	6.661338147750939e-16	2025-04-12	2026-04-04
geo_matched_state	state	TX	COVID-19	1	52	se	0.00018812836067233135	0.016227065001122698	2025-04-12	2026-04-04
geo_matched_state	state	TX	Influenza	1	52	se	0.0015374353019820789	8.544750437433635e-06	2025-04-12	2026-04-04
geo_matched_state	state	TX	RSV	1	52	se	0.0009875722350236123	2.2124937031353653e-06	2025-04-12	2026-04-04
geo_matched_state	state	UT	COVID-19	1	52	se	0.0005554873699829568	3.776903234609108e-10	2025-04-12	2026-04-04
geo_matched_state	state	UT	Influenza	1	52	se	4.210057609458349e-05	0.04641893598427327	2025-04-12	2026-04-04
geo_matched_state	state	UT	RSV	1	52	se	2.585078794510706e-05	0.41726799691001104	2025-04-12	2026-04-04
geo_matched_state	state	VA	COVID-19	1	52	se	0.00015797090720792484	0.04957529508890812	2025-04-12	2026-04-04
geo_matched_state	state	VA	Influenza	1	52	se	-2.8730690287881256e-05	0.8224789681810896	2025-04-12	2026-04-04
geo_matched_state	state	VA	RSV	1	52	se	-5.262819227644725e-05	0.14395015778483833	2025-04-12	2026-04-04
geo_matched_state	state	VT	COVID-19	1	52	se	0.0026151512657471196	0.051360643661652494	2025-04-12	2026-04-04
geo_matched_state	state	VT	Influenza	1	52	se	0.00018283351589017048	0.6597589580967882	2025-04-12	2026-04-04
geo_matched_state	state	VT	RSV	1	52	se	0.00044606946872883385	0.47121230479037	2025-04-12	2026-04-04
geo_matched_state	state	WA	COVID-19	1	52	se	0.00034135852840800577	0.11694645500460599	2025-04-12	2026-04-04
geo_matched_state	state	WA	Influenza	1	52	se	0.00036309500203631883	0.0010623306120596254	2025-04-12	2026-04-04
geo_matched_state	state	WA	RSV	1	52	se	0.0001719551229966406	0.7087942981243411	2025-04-12	2026-04-04
geo_matched_state	state	WI	COVID-19	1	52	se	0.0011189193849454493	0.02291894971258901	2025-04-12	2026-04-04
geo_matched_state	state	WI	Influenza	1	52	se	0.00025108624091326284	0.18225394265581207	2025-04-12	2026-04-04
geo_matched_state	state	WI	RSV	1	52	se	0.0007227774400745059	0.0011662802052150312	2025-04-12	2026-04-04
geo_matched_state	state	WV	COVID-19	1	52	se	0.01446451259852512	0.026479547586255592	2025-04-12	2026-04-04
geo_matched_state	state	WV	Influenza	1	52	se	-0.0023245759474861422	0.4937736829085868	2025-04-12	2026-04-04
geo_matched_state	state	WV	RSV	1	52	se	0.0023824533799824818	0.40248387960024945	2025-04-12	2026-04-04
geo_matched_state	state	WY	COVID-19	1	52	se	-0.00854131968175935	0.043104039700662344	2025-04-12	2026-04-04
geo_matched_state	state	WY	Influenza	1	52	se	0.005797424518445759	0.18184020099758058	2025-04-12	2026-04-04
geo_matched_state	state	WY	RSV	1	52	se	-0.0001804079564711449	0.8993559612578177	2025-04-12	2026-04-04
