y_delay_weeks	feature_missing_frac	feature_revision_frac	context	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
0	0.0	0.0	early_warning	12.0	592.0	0.07794437540780548	0.07775309499520087	0.11676870748299317	0.11655405405405403
0	0.0	0.3	early_warning	12.0	592.0	0.0684987582580105	0.06836799680852602	0.14210884353741496	0.14189189189189186
0	0.1	0.0	early_warning	12.0	495.0	0.07922337777488944	0.07932872294238043	0.16350732600732595	0.15959595959595957
0	0.1	0.3	early_warning	12.0	492.0	0.07237719941557648	0.0764657354101639	0.21063382386911797	0.2073170731707317
0	0.2	0.0	early_warning	8.0	29.0	0.03238728422580392	0.024202027506458005	0.23333333333333334	0.3448275862068966
0	0.2	0.3	early_warning	4.0	4.0	-0.08282393934757665	-0.08282393934757665	1.0	1.0
1	0.0	0.0	early_warning	12.0	592.0	0.09349302087036666	0.09325915494983313	0.12527210884353737	0.12499999999999996
1	0.0	0.3	early_warning	12.0	592.0	0.08461942740055373	0.08443545409290659	0.1455442176870748	0.14527027027027026
1	0.1	0.0	early_warning	12.0	519.0	0.09894657667358069	0.09901695632198912	0.18217030671917886	0.17533718689788053
1	0.1	0.3	early_warning	12.0	538.0	0.0960541250920925	0.09691281199966613	0.20616044162555788	0.20446096654275092
1	0.2	0.0	early_warning	11.0	65.0	0.009502672999257611	0.04385935966727806	0.15702479338842973	0.16923076923076924
1	0.2	0.3	early_warning	12.0	34.0	0.48169597835081673	0.6176341582248956	0.20138888888888887	0.2647058823529412
2	0.0	0.0	early_warning	12.0	592.0	0.10466084459067283	0.10439363070353713	0.13884353741496597	0.13851351351351346
2	0.0	0.3	early_warning	12.0	592.0	0.09618851682474518	0.09596736219474941	0.1456802721088435	0.14527027027027026
2	0.1	0.0	early_warning	12.0	566.0	0.11233952303368121	0.1117128722436941	0.20598622674478365	0.20318021201413428
2	0.1	0.3	early_warning	12.0	555.0	0.10873211989693084	0.10833478124146644	0.18791102574099464	0.1873873873873874
2	0.2	0.0	early_warning	12.0	241.0	0.1295902020880013	0.13285592537622776	0.17976371878174532	0.1950207468879668
2	0.2	0.3	early_warning	12.0	182.0	0.056155844745171345	0.06806904353493608	0.27544443215882847	0.21978021978021978
3	0.0	0.0	early_warning	12.0	592.0	0.11307314410121005	0.1127762566477414	0.14901360544217682	0.14864864864864863
3	0.0	0.3	early_warning	12.0	592.0	0.10557349728156495	0.10531304876625695	0.1590816326530612	0.15878378378378377
3	0.1	0.0	early_warning	12.0	575.0	0.12631034740500346	0.12636327802488428	0.19221971682598415	0.18956521739130436
3	0.1	0.3	early_warning	12.0	568.0	0.11006818723589766	0.10954423209061066	0.1798550724637681	0.1795774647887324
3	0.2	0.0	early_warning	12.0	441.0	0.13793467320023806	0.13695418997879902	0.18523524352269638	0.1859410430839002
3	0.2	0.3	early_warning	12.0	383.0	0.09210747417641728	0.09790095435938179	0.21934914214115653	0.216710182767624
4	0.0	0.0	early_warning	12.0	592.0	0.11877294526215847	0.11845162121550555	0.1726190476190476	0.17229729729729729
4	0.0	0.3	early_warning	12.0	592.0	0.11320856589877466	0.1129158339342041	0.16751700680272108	0.16722972972972971
4	0.1	0.0	early_warning	12.0	580.0	0.13535066878728408	0.135181704732493	0.17209663120567373	0.1706896551724138
4	0.1	0.3	early_warning	12.0	576.0	0.11746146243529716	0.11681482692639834	0.165354609929078	0.16493055555555555
4	0.2	0.0	early_warning	12.0	532.0	0.16287467395263813	0.1577042557763442	0.16049167634533484	0.16165413533834586
4	0.2	0.3	early_warning	12.0	547.0	0.12268466964542739	0.12587794257291682	0.1637520458265139	0.1590493601462523
0	0.0	0.0	with_current_y	12.0	592.0	0.060253191932363996	0.060106809109016376	0.11517006802721086	0.11486486486486484
0	0.0	0.3	with_current_y	12.0	592.0	0.05162617283871129	0.051541626191438414	0.14397959183673467	0.14358108108108106
0	0.1	0.0	with_current_y	12.0	432.0	0.048300126623777175	0.04856200207251339	0.1954502886194802	0.19212962962962962
0	0.1	0.3	with_current_y	12.0	385.0	0.050251772314515025	0.05390503319233378	0.23664576988106398	0.23636363636363633
0	0.2	0.0	with_current_y	8.0	16.0	0.029596331791547078	0.029596331791547078	0.3125	0.3125
1	0.0	0.0	with_current_y	12.0	592.0	0.07794437540780548	0.07775309499520087	0.11676870748299317	0.11655405405405403
1	0.0	0.3	with_current_y	12.0	592.0	0.0684987582580105	0.06836799680852602	0.14210884353741496	0.14189189189189186
1	0.1	0.0	with_current_y	12.0	495.0	0.07922337777488944	0.07932872294238043	0.16350732600732595	0.15959595959595957
1	0.1	0.3	with_current_y	12.0	492.0	0.07237719941557648	0.0764657354101639	0.21063382386911797	0.2073170731707317
1	0.2	0.0	with_current_y	8.0	29.0	0.03238728422580392	0.024202027506458005	0.23333333333333334	0.3448275862068966
1	0.2	0.3	with_current_y	4.0	4.0	-0.08282393934757665	-0.08282393934757665	1.0	1.0
2	0.0	0.0	with_current_y	12.0	592.0	0.09349302087036666	0.09325915494983313	0.12527210884353737	0.12499999999999996
2	0.0	0.3	with_current_y	12.0	592.0	0.08461942740055373	0.08443545409290659	0.1455442176870748	0.14527027027027026
2	0.1	0.0	with_current_y	12.0	519.0	0.09894657667358069	0.09901695632198912	0.18217030671917886	0.17533718689788053
2	0.1	0.3	with_current_y	12.0	538.0	0.0960541250920925	0.09691281199966613	0.20616044162555788	0.20446096654275092
2	0.2	0.0	with_current_y	11.0	65.0	0.009502672999257611	0.04385935966727806	0.15702479338842973	0.16923076923076924
2	0.2	0.3	with_current_y	12.0	34.0	0.48169597835081673	0.6176341582248956	0.20138888888888887	0.2647058823529412
3	0.0	0.0	with_current_y	12.0	592.0	0.10466084459067283	0.10439363070353713	0.13884353741496597	0.13851351351351346
3	0.0	0.3	with_current_y	12.0	592.0	0.09618851682474518	0.09596736219474941	0.1456802721088435	0.14527027027027026
3	0.1	0.0	with_current_y	12.0	566.0	0.11233952303368121	0.1117128722436941	0.20598622674478365	0.20318021201413428
3	0.1	0.3	with_current_y	12.0	555.0	0.10873211989693084	0.10833478124146644	0.18791102574099464	0.1873873873873874
3	0.2	0.0	with_current_y	12.0	241.0	0.1295902020880013	0.13285592537622776	0.17976371878174532	0.1950207468879668
3	0.2	0.3	with_current_y	12.0	182.0	0.056155844745171345	0.06806904353493608	0.27544443215882847	0.21978021978021978
4	0.0	0.0	with_current_y	12.0	592.0	0.11307314410121005	0.1127762566477414	0.14901360544217682	0.14864864864864863
4	0.0	0.3	with_current_y	12.0	592.0	0.10557349728156495	0.10531304876625695	0.1590816326530612	0.15878378378378377
4	0.1	0.0	with_current_y	12.0	575.0	0.12631034740500346	0.12636327802488428	0.19221971682598415	0.18956521739130436
4	0.1	0.3	with_current_y	12.0	568.0	0.11006818723589766	0.10954423209061066	0.1798550724637681	0.1795774647887324
4	0.2	0.0	with_current_y	12.0	441.0	0.13793467320023806	0.13695418997879902	0.18523524352269638	0.1859410430839002
4	0.2	0.3	with_current_y	12.0	383.0	0.09210747417641728	0.09790095435938179	0.21934914214115653	0.216710182767624
